model,model_type,dataset,accuracy,avg_tokens,total_examples,generation_failures,gpu_id,timestamp
Qwen/Qwen2.5-0.5B,base,medmcqa,0.77,42.37,100,0,0,2025-05-26T04:25:10.516439
Qwen/Qwen2.5-0.5B,base,pubmed_qa,0.51,5.59,100,0,0,2025-05-26T04:25:24.286414
Qwen/Qwen2.5-0.5B-Instruct,instruct,medmcqa,0.85,49.95,100,0,1,2025-05-26T04:25:27.370990
Qwen/Qwen2.5-0.5B-Instruct,instruct,pubmed_qa,0.88,49.99,100,0,1,2025-05-26T04:27:09.004506
